142,Wuthering Heights,Emily Bronte
143,Ghost Stories and Urban Legends,Various
144,The Last of the Wine,Mary Renault
145,A Confederacy Dunces,John Kennedy Toole
146,A Good Man Is Hard to Find,Flannery O'Connor
147,Catch-22,Joseph Heller
148,Things Fall Apart,Chinua Achebe
149,Around the World in Eighty Days,Jules Verne
150,Fifty Shades Freed,E.L. James
151,Home Alone,Todd Strasser
152,The Cuckoo's Calling,Robert Galbraith
153,The Age of Innocence,Edith Wharton
154,The Scarlet Pimpernel,Emma Orczy
155,Good Omens,Neil Gaiman and Terry Pratchett
156,A Canticle for Leibowitz,Walter M. Miller Jr.
157,The Bees,Laline Paull
158,Beloved,Toni Morrison
159,The Ones Who Walk Away from Omelas,Ursula K. Le Guin
160,Robinson Crusoe,Daniel Defoe
161,It,Stephen King
162,A Prayer for Owen Meany,John Irving
163,Disgruntled,Asali Solomon
164,Speedboat,Renata Adler
165,Peter Pan,J.M. Barrie
166,When Women Were Birds,Terry Tempest Williams
167,Statue of Liberty Adventure,Choose Your Own Adventure
168,The Rover,Aphra Behn
169,Flowers in the Attic,V.C. Andrews
170,Star Wars: Aftermath,Chuck Wendig
171,Mr. Peanut,Adam Ross
172,Les Miserables,Victor Hugo
173,Eat Pray Love,Elizabeth Gilbert
174,The Hunchback of Notre Dame,Victor Hugo
175,The Dark is Rising,Susan Cooper
176,Black Beauty,Anna Sewell
177,Jurassic Park,Michael Crichton
178,The Call of the Wild,Jack London
179,1Q84,Haruki Murakami
180,Preacher,Garth Ennis
181,Guilt By Association,Marcia Clark
182,Jane Eyre,Charlotte Bronte
183,The Door,Magda Szabo
184,The Gospel of Loki,Joanne Harris
186,Island of the Blue Dolphins,Scott O'Dell
187,A Walk to Remember,Nicholas Sparks
188,The Likeness,Tana French
189,Shadowshaper,Daniel Jose Older
190,Eleanor & Park,Rainbow Rowell
191,The Phantom Tollbooth,Norton Juster
192,Casino Royale,Ian Fleming
193,Johannes Cabal the Necromancer,Jonathan L. Howard
194,Prisoner of the Ant People,Choose Your Own Adventure
195,The Beggar's Opera,John Gay
196,Watership Down,Richard Adams
197,Open: How Compaq Ended IBM...,Rod Canion
198,The Magicians,Lev Grossman
199,Tuck Everlasting,Natalie Babbitt
200,Infinite Jest,David Foster Wallace
201,Howl's Moving Castle,Diana Wynne
202,The Woman in Black,Susan Hill
203,Hook,(film)
204,The Haunting of Hill House,Shirley Jackson
205,The Werewolf of Paris,Guy Endore
206,Ring,Koji Suzuki
207,Beware of the Purpe Peanut Butter,R.L. Stine
208,Magic Bites,Illona and Andrew Gordon
209,Snow Crash,Neal Stephenson
211,The Ocean at the End of the Lane,Neil Gaiman
212,The History of Love,Nicole Krauss
213,The Outsides,S.E. Hinton
214,White Teeth,Zadie Smith
215,Stealing Christmas,Alexa Riley
216,A Tale for the Time Being,Ruth Ozeki
217,All-Star Superman,Grant Morrison
218,Angel,Elizabeth Taylor
219,Mr Burns: A Post-Electric Play,Anne Washburn
220,The Constitution,The Founding Fathers
221,Station Eleven,Emily St. John Mandel
222,Lord of the Flies,William Golding
223,Invisible Man,Ralph Ellison
224,The Curious Incident of the Dog in the Nightime,Mark Haddon
225,Zami: A New Spelling of My Name,Audre Lorde
226,Last Act,Christopher Pike
227,The World According to Garp,John Irving
228,"The Lion, the Witch, and the Wardrobe",C.S. Lewis
229,One Hundred Years of Solitude,Gabriel Garcia Marquez
230,Treasure Island,Robert Louis Stevenson
231,The Joy Luck Club,Amy Tan
232,The Bell Jar,Sylvia Plath
233,Cloud Atlas,David Mitchell
234,The Count of Monte Cristo,Alexandre Dumas
235,Silas Marner,George Eliot
236,Never Let Me Go,Kazuo Ishiguro
237,Skateboard Tough,Matt Christopher
238,Everything is Illuminated,Jonathan Safran Foer
239,The the Mixed-up Files of Mrs Basil E. Frankenweiler,E.L. Konigsburg
240,The Brief Wondroys Life of Oscar Wao,Junot Diaz
241,You Are A Shark,Choose Your Own Adventure
242,Felidae,Akif Pirincci
243,March,Geraldine Brooks
244,Siddhartha,Hermann Hesse
245,Five Children and It,E. Nesbit
246,Kushiel's Dart,Jacqueline Carey
247,The Secret Garden,Frances Hodgson Burnett
248,Last Days of Summer,Steve Kluger
249,The Nerd,Larry Shue
250,Alias Hook,Lisa Jensen
251,Like Water for Chocolate,Laura Esquivel
252,Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien
253,The Talented Mr. Ripley,Patricia Highsmith
254,Bridge to Terabithia,Katherine Paterson
255,10:04,Ben Lerner
256,Anne of Green Gables,Lucy Maude Montgomery
257,Dying of the Light,George R.R. Martin
258,Little Women,Louisa May Alcott
259,Girl at War,Sara Novic
260,The Traitor,Michael Cisco
261,Bridget Jones's Diary,Helen Fielding
262,99 Fear Street (The First Horror),R.L. Stine
264,The Murders in the Rue Morgue/ Cask of the Amontillado,Edgar Allan Poe
265,House of Leaves,Mark Z. Danielewski
266,Bag of Bones,Stephen King
267,Interview With The Vampire,Anne Rice
268,Ghost Stories and Urban Legends,Various
269,A Wrinkle in TIme,Madelein L'Engle
270,The Great Gatsby,F. Scott Fitzgerald
271,Ender's Game,Orson Scott Card
272,Harry Potter and the Sorcerer's Stone,J.K. Rowling
273,Where the Red Fern Grows,Wilson Rawls
274,Fahrenheit 451,Ray Bradbury
275,The Hitchhiker's Guide to the Galaxy,Douglas Adams
276,The Book Theif,Markus Zusak
277,The Santa Clause,Daphne Skinner
278,Beauty and the Beast,Gabrielle-Suzanne Barbot de Villeneuve
279,The Crossing,Cormac McCarthy
280,The Secret,Rhonda Byrne
281,The Satanic Verses,Salman Rushdie
282,The Dispossessed,Ursula K. Le Guin
283,Salvage the Bones,Jesmyn Ward
284,Americanah,Chimamanda Ngozi Adichie
285,The Fifth Season,N.K. Jemisin
286,Kindred,Octavia Butler
287,The Cranes Dance,Meg Howrey
288,The Time Traveler's Wife,Audrey Niffenegger
289,The Colour of Magic,Terry Pratchett
290,Charlotte's Web,E.B. White
291,Gone With the Wid,Margaret Mitchell
292,"""A"" is for Alibi",Sue Grafton
293,Ready Player One,Ernest Cline
294,The New Life,Orhan Pamuk
295,Passion's Promis,Danielle Steel
296,Peyton Place,Grace Metalious
297,Austerlitz,W.G. Sebald
298,Mrs. Piggle-Wiggle,Betty MacDonald
299,Rock and Roll Mystery,Choose Your Own Adventure
300,Twilight,Stephanie Meyer
301,The Power,Naomi Alderman
1001,The Odyssey,Homer
302,I Heard the Owl Call My Name,Margaret Craven
303,Childhood's End,Arthur C. Clarke
304,Mistborn: The Fial Empire,Brandon Sanderson
305,The Book of Unknown Americans,Christina Henriquez
306,Aristotle Detective,Margaret Doody
307,Redwall,Brian Jacques
308,A Darker Shade of Magic,V.E. Schwab
309,The Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells
310,Mystic River,Dennis Lehane
311,The Underground Railroad,Colson Whitehead
312,The Diary of a Young Girl,Anne Frank
313,The Hardy Boys #1,Various
314,Love Story,Erich Segal
315,Behold the Dreamers,Imbolo Mbue
316,Johnny Tremain,Esther Forbes
317,Suffer the Children,Craig DiLouie
318,The Walking Drum,Louis L'Amour
319,Gravity's Rainbow,Thomas Pynchon
320,New Moon,Stephanie Meyer
321,Carrie,Stephen King
322,The Master and Margarita,Mikhail Bulgakov
323,Say Cheese and Die,R.L. Stine
324,Hex,Thomas Olde Heuvelt
325,Hell House,Richard Matheson
326,Terror on the Titanic,Choose Your Own Adventure
327,A Separate Peace,John Knowles
328,The Indian In The Cupboard,Lynne Reid Banks
329,Passing,Nella Larsen
330,The Wheel of Time,Robert Jordan and Brandon Sanderson
331,Minecraft: The Island,Max Brooks
332,Spinning Silver,Naomi Novik
333,The Little Mermain,Hans Christen Anderson
334,A Dangerously Sexy Christmas,Stefanie London
335,Pale Fire,Vladimir Nabokov
336,The Unbearable Lightness of Being,Milan Kundera
337,The Golden Compass,Philip Pullman
338,Eclipse,Stephanie Meyer
339,The Round House,Louise Erdirch
340,The Name of the Wind,Patrick Rothfuss
341,Dawn,Octavia Butler
342,Native Son,Richard Wright
343,How to Win Friends and Influence People,Dale Carnegie
344,Speaker for the Dead,Orson Scott Card
345,NOS4A2,Joe Hill
346,Akata Witch,Nnedi Okorafor
347,What to Expect When You're Expecting,Various
348,Breakfast at Tiffany's,Truman Capote
349,Columbus Day,Craig Alanson
350,Slaughterhause 5,Kurt Vonnegut
351,Breaking Dawn,Stephanie Meyer
352,The Time Machine,H.G. Wells
353,The Lies of Locke Lamora,Scott Lynch
354,Fungus the Bogeyman/Dragons Love Tacos,Various
355,John Dies at the End,David Wong
356,Middlemarch,George Eliot
357,11/22/63,Steven King
358,Circe,Medeline Miller
359,Drowning Ruth,Christina Schwarz
360,We Have Always Lived in the Castle,Shirley Jackson
361,A Raisin in the Sun,Lorraine Hansberry
362,Vicious,V.E. Schwab
363,The Crimson Petal and the White,Michael Faber
365,Speak,Laurie Halse Anderson
366,Jonathan Strange & Mr. Norrell,Susanna Clark
367,Behind Closed Doors,B.A. Paris
368,Heart of Darkness,Joseph Conrad
1002,Divine Comedy,Dante
369,The Subtle Knife,Philip Pullman
370,Knights of the Round Table,Choose Your Own Adventure
371,Siblings Without Rivalry,Adele Faber and Elain Mazlish
372,Tarzan of the Apes,Edgar Rice Burroughs
373,"The Long Way to a Small, Angry Planet",Becky Chambers
374,Annihilarion,Jeff VanderMeer
375,The Amber Spyglass,Philip Pullman
376,The Player of Games,Iain M. Banks
377,Lysistrate,Aristophanes
378,The God of Small Things,Arundhati Roy
379,Oliver Twist,Charles Dickens
380,From Hell,Alan Moore and Eddie Campbell
381,The Ghost Bride,Yangsze Choo
382,Penpal,Dathan Auerbach
383,Psycho,Robert Bloch
384,The Nightmare Before Christmas,Tim Burton
385,James and the Giant Peach,Roald Dahl
386,On the Road,Jack Kerouac
387,One Flew Over the Cuckoo's Nest,Ken Kesey
388,The Fountainhead,Ayn Rand
389,The Secret River,Kate Grenville
390,The Cricket in Times Square,George Selden
391,The Eyre Affair,Jasper Fforde
392,Home for Hanukkah,Celine Banks
393,The Mists of Avalon,Morgan Le Fay
